Nom,Poste,Age,Date de naissance,Taille,Poids,JIFF,Contrat,Club
Zurabi ZHVANIA,Pilier,24 ans,23/09/1991,179,125,JIFF,PRO,Paris
Aled DE MALMANCHE,Talonneur,31 ans,11/09/1984,185,112,NONJIFF,PRO,Paris
Laurent PANIS,Talonneur,22 ans,23/04/1993,180,102,ESPOIR,ESPOIR,Paris
Laurent SEMPÉRÉ,Talonneur,30 ans,09/07/1985,180,102,JIFF,PRO,Paris
Rémi BONFILS,Talonneur,27 ans,26/09/1988,178,101,JIFF,PRO,Paris
Alexandre FLANQUART,2ème ligne,26 ans,09/10/1989,204,114,JIFF,PRO,Paris
Gerhard MOSTERT,2ème ligne,31 ans,04/10/1984,199,120,NONJIFF,PRO,Paris
Hugh PYLE,2ème ligne,27 ans,21/09/1988,201,118,NONJIFF,PRO,Paris
Julien NIBERT,2ème ligne,22 ans,22/04/1993,194,105,ESPOIR,ESPOIR,Paris
Pascal PAPÉ,2ème ligne,35 ans,05/10/1980,196,115,JIFF,PRO,Paris
Paul GABRILLAGUES,2ème ligne,22 ans,03/06/1993,199,110,ESPOIR,ESPOIR,Paris
Antoine BURBAN,3ème ligne,28 ans,22/07/1987,189,101,JIFF,PRO,Paris
Jono ROSS,3ème ligne,25 ans,27/10/1990,191,98,NONJIFF,PRO,Paris
Mathieu DE GIOVANNI,3ème ligne,21 ans,10/01/1994,187,102,ESPOIR,ESPOIR,Paris
Matthieu UGENA,3ème ligne,20 ans,25/07/1995,186,102,ESPOIR,ESPOIR,Paris
Patrick SIO,3ème ligne,21 ans,04/04/1994,191,108,ESPOIR,ESPOIR,Paris
Raphaël LAKAFIA,3ème ligne,27 ans,28/10/1988,191,115,JIFF,PRO,Paris
Sekou MACALOU,3ème ligne,20 ans,20/04/1995,195,100,ESPOIR,ESPOIR,Paris
Sergio PARISSE,3ème ligne,32 ans,12/09/1983,196,122,NONJIFF,PRO,Paris
Sylvain NICOLAS,3ème ligne,28 ans,21/06/1987,188,102,JIFF,PRO,Paris
Willem ALBERTS,3ème ligne,31 ans,11/05/1984,192,120,NONJIFF,PRO,Paris
Clément DAGUIN,Mêlée,23 ans,25/05/1992,180,87,JIFF,PRO,Paris
Julien DUPUY,Mêlée,31 ans,19/12/1983,178,78,JIFF,PRO,Paris
Julien TOMAS,Mêlée,30 ans,21/04/1985,183,83,JIFF,PRO,Paris
Will GENIA,Mêlée,27 ans,17/01/1988,174,82,NONJIFF,PRO,Paris
Jules PLISSON,Ouverture,24 ans,20/08/1991,184,88,JIFF,PRO,Paris
Meyer BOSMAN,Ouverture,30 ans,19/04/1985,192,100,NONJIFF,PRO,Paris
Morné STEYN,Ouverture,31 ans,11/07/1984,183,91,NONJIFF,PRO,Paris
Vincent MALLET,Ouverture,22 ans,08/02/1993,181,86,ESPOIR,ESPOIR,Paris
Geoffrey DOUMAYROU,Centre,26 ans,16/09/1989,186,92,JIFF,PRO,Paris
Jonathan DANTY,Centre,23 ans,07/10/1992,181,93,JIFF,PRO,Paris
Avenisi VASUINUBU,Ailier,23 ans,15/04/1992,189,89,JIFF,PRO,Paris
Djibril CAMARA,Ailier,26 ans,22/06/1989,181,85,JIFF,PRO,Paris
Jérémy SINZELLE,Ailier,25 ans,02/07/1990,184,88,JIFF,PRO,Paris
Josaia RAISUQE,Ailier,21 ans,22/07/1994,190,91,ESPOIR,ESPOIR,Paris
Julien ARIAS,Ailier,32 ans,26/10/1983,178,89,JIFF,PRO,Paris
Waisea NAYACALEVU,Ailier,25 ans,26/06/1990,193,104,NONJIFF,PRO,Paris
Hugo BONNEVAL,Arrière,25 ans,19/11/1990,185,90,JIFF,PRO,Paris
Paul WILLIAMS,Arrière,32 ans,22/04/1983,189,100,NONJIFF,PRO,Paris
Titouan CAZEDEPATS,Arrière,21 ans,16/06/1994,185,76,ESPOIR,ESPOIR,Paris
Chris KING,Pilier,34 ans,30/04/1981,186,120,NONJIFF,PRO,Pau
Euan MURRAY,Pilier,35 ans,07/08/1980,186,115,NONJIFF,PRO,Pau
Geoffrey MOÏSE,Pilier,24 ans,20/08/1991,187,127,JIFF,PRO,Pau
Giorgi NATSARASHVILI,Pilier,30 ans,01/04/1985,190,123,NONJIFF,PRO,Pau
Jérémy HUROU,Pilier,31 ans,26/03/1984,182,108,JIFF,PRO,Pau
Julien JACQUOT,Pilier,33 ans,18/05/1982,183,118,JIFF,PRO,Pau
Sylvain CHARLET,Pilier,30 ans,22/08/1985,185,117,JIFF,PRO,Pau
Mehdi BOUNDJEMA,Talonneur,25 ans,07/06/1990,181,110,JIFF,PRO,Pau
Quentin LESPIAUCQ,Talonneur,20 ans,16/02/1995,180,95,ESPOIR,ESPOIR,Pau
Thomas BIANCHIN,Talonneur,28 ans,11/08/1987,183,105,JIFF,PRO,Pau
Vincent CAMPO,Talonneur,30 ans,20/05/1985,181,105,JIFF,PRO,Pau
Abdellatif BOUTATY,2ème ligne,32 ans,04/06/1983,195,112,NONJIFF,PRO,Pau
Cameron PIERCE,2ème ligne,24 ans,26/10/1991,197,108,JIFF,PRO,Pau
Claude DRY,2ème ligne,30 ans,29/10/1985,203,118,NONJIFF,PRO,Pau
Damien FÈVRE,2ème ligne,31 ans,10/05/1984,197,106,JIFF,PRO,Pau
Daniel RAMSAY,2ème ligne,31 ans,01/06/1984,197,114,NONJIFF,PRO,Pau
Julien PIERRE,2ème ligne,34 ans,31/07/1981,197,114,JIFF,PRO,Pau
Brice MONZEGLIO,3ème ligne,32 ans,28/06/1983,191,108,JIFF,PRO,Pau
James COUGHLAN,3ème ligne,34 ans,09/12/1980,190,109,NONJIFF,PRO,Pau
Jean BOUILHOU,3ème ligne,36 ans,07/12/1978,192,100,JIFF,PRO,Pau
Josefa DOMOLAILAI,3ème ligne,29 ans,11/12/1985,197,115,NONJIFF,PRO,Pau
Loïc BERNAD,3ème ligne,29 ans,21/02/1986,182,93,JIFF,PRO,Pau
Paddy BUTLER,3ème ligne,24 ans,01/12/1990,190,105,NONJIFF,PRO,Pau
Sean DOUGALL,3ème ligne,26 ans,28/10/1989,183,108,NONJIFF,PRO,Pau
Samuel MARQUES,Mêlée,26 ans,08/12/1988,172,76,JIFF,PRO,Pau
Taniela MOA,Mêlée,30 ans,11/03/1985,182,98,NONJIFF,PRO,Pau
Thibault DAUBAGNA,Mêlée,21 ans,20/05/1994,177,77,ESPOIR,ESPOIR,Pau
Thierry LACRAMPE,Mêlée,27 ans,23/02/1988,177,73,JIFF,PRO,Pau
Brandon FAJARDO,Ouverture,21 ans,25/06/1994,181,77,ESPOIR,ESPOIR,Pau
Colin SLADE,Ouverture,28 ans,10/10/1987,183,90,NONJIFF,PRO,Pau
Santiago FERNANDEZ,Ouverture,29 ans,28/11/1985,183,83,NONJIFF,PRO,Pau
Conrad SMITH,Centre,34 ans,12/10/1981,186,95,NONJIFF,PRO,Pau
Damien TRAILLE,Centre,36 ans,12/06/1979,192,98,JIFF,PRO,Pau
Jale VATUBUA,Centre,24 ans,30/08/1991,189,121,JIFF,PRO,Pau
Julien FUMAT,Centre,28 ans,26/03/1987,180,83,JIFF,PRO,Pau
Pierre DUPOUY,Centre,19 ans,14/11/1996,180,79,ESPOIR,ESPOIR,Pau
Simon BONNET,Centre,26 ans,14/01/1989,182,90,JIFF,PRO,Pau
Bastien POURAILLY,Ailier,21 ans,31/01/1994,177,80,ESPOIR,ESPOIR,Pau
Elijah NIKO,Ailier,25 ans,11/09/1990,192,95,NONJIFF,PRO,Pau
Marika VUNIBAKA,Ailier,21 ans,12/05/1994,196,100,ESPOIR,ESPOIR,Pau
Mosese RATUVOU,Ailier,32 ans,31/01/1983,180,100,NONJIFF,PRO,Pau
Sireli BOBO,Ailier,39 ans,28/01/1976,193,102,JOKER,PRO,Pau
Watisoni VOTU,Ailier,30 ans,25/03/1985,187,93,NONJIFF,PRO,Pau
William PEES,Ailier,22 ans,06/08/1993,190,85,ESPOIR,ESPOIR,Pau
Charly MALIÉ,Arrière,24 ans,05/11/1991,185,87,JIFF,PRO,Pau
Mathieu ACEBES,Arrière,28 ans,01/08/1987,182,82,JIFF,PRO,Pau
Romain BUROS,Arrière,18 ans,31/07/1997,182,88,ESPOIR,ESPOIR,Pau
Ben TAMEIFUNA,Pilier,24 ans,30/08/1991,182,140,NONJIFF,PRO,Racing 92
Cedate GOMES SA,Pilier,22 ans,07/08/1993,185,105,ESPOIR,ESPOIR,Racing 92
Davit KHINCHAGISHVILI,Pilier,33 ans,24/07/1982,181,112,NONJIFF,PRO,Racing 92
Eddy BEN AROUS,Pilier,25 ans,25/08/1990,183,117,JIFF,PRO,Racing 92
Julien BRUGNAUT,Pilier,34 ans,17/11/1981,183,123,JIFF,PRO,Racing 92
Khatchik VARTANOV,Pilier,22 ans,06/02/1993,184,112,ESPOIR,ESPOIR,Racing 92
Luc DUCALCON,Pilier,31 ans,02/01/1984,183,117,JIFF,PRO,Racing 92
Martin CASTROGIOVANNI,Pilier,34 ans,21/10/1981,188,110,NONJIFF,PRO,Racing 92
Nicolas MIRANDE,Pilier,25 ans,26/12/1989,190,115,JOKER CDM,PRO,Racing 92
Armand  VAN DER MERWE,Talonneur,24 ans,17/06/1991,178,108,JOKER CDM,PRO,Racing 92
Camille CHAT,Talonneur,19 ans,18/12/1995,178,99,ESPOIR,ESPOIR,Racing 92
Dimitri SZARZEWSKI,Talonneur,32 ans,26/01/1983,180,102,JIFF,PRO,Racing 92
Virgile LACOMBE,Talonneur,31 ans,07/07/1984,181,105,JIFF,PRO,Racing 92
François VAN DER MERWE,2ème ligne,32 ans,04/10/1983,198,120,NONJIFF,PRO,Racing 92
Juandré KRUGER,2ème ligne,30 ans,06/09/1985,199,112,NONJIFF,PRO,Racing 92
Luke CHARTERIS,2ème ligne,32 ans,09/03/1983,206,119,NONJIFF,PRO,Racing 92
Manuel CARIZZA,2ème ligne,31 ans,23/08/1984,202,114,NONJIFF,PRO,Racing 92
Ross FILIPO,2ème ligne,36 ans,14/04/1979,196,115,NONJIFF,PRO,Racing 92
Thibault DUBARRY,2ème ligne,28 ans,24/11/1987,198,114,JIFF,PRO,Racing 92
Antonie CLAASSEN,3ème ligne,31 ans,20/10/1984,191,106,NONJIFF,PRO,Racing 92
Bernard LE ROUX,3ème ligne,26 ans,04/06/1989,196,113,JIFF,PRO,Racing 92
Chris MASOE,3ème ligne,36 ans,15/05/1979,188,106,NONJIFF,PRO,Racing 92
Luc BARBA,3ème ligne,23 ans,30/01/1992,187,100,JIFF,PRO,Racing 92
Wenceslas LAURET,3ème ligne,26 ans,28/03/1989,188,92,JIFF,PRO,Racing 92
Yannick NYANGA,3ème ligne,31 ans,19/12/1983,187,97,JIFF,PRO,Racing 92
Arthur RETIÈRE,Mêlée,18 ans,01/08/1997,170,75,ESPOIR,ESPOIR,Racing 92
Casper Jacobus LÖTTER,Mêlée,19 ans,02/03/1996,181,81,ESPOIR,ESPOIR,Racing 92
Maxime MACHENAUD,Mêlée,26 ans,30/12/1988,174,87,JIFF,PRO,Racing 92
Mike PHILLIPS,Mêlée,33 ans,29/08/1982,195,104,NONJIFF,PRO,Racing 92
Xavier CHAUVEAU,Mêlée,23 ans,14/10/1992,180,84,JIFF,PRO,Racing 92
Benjamin DAMBIELLE,Ouverture,30 ans,15/07/1985,183,89,JIFF,PRO,Racing 92
Dan CARTER,Ouverture,33 ans,05/03/1982,180,92,NONJIFF,PRO,Racing 92
Maxime JAVAUX,Ouverture,22 ans,04/11/1993,182,86,ESPOIR,ESPOIR,Racing 92
Rémi TALÈS,Ouverture,31 ans,02/05/1984,186,91,JIFF,PRO,Racing 92
Alexandre DUMOULIN,Centre,26 ans,24/08/1989,189,97,JIFF,PRO,Racing 92
Casey LAULALA,Centre,33 ans,03/05/1982,185,101,NONJIFF,PRO,Racing 92
Etienne DUSSARTRE,Centre,22 ans,05/02/1993,186,91,ESPOIR,ESPOIR,Racing 92
Henry CHAVANCY,Centre,27 ans,22/05/1988,181,92,JIFF,PRO,Racing 92
Yoan AUDRIN,Centre,34 ans,14/08/1981,179,89,JIFF,PRO,Racing 92
Joe ROKOCOKO,Ailier,32 ans,06/06/1983,189,98,NONJIFF,PRO,Racing 92
Juan IMHOFF,Ailier,27 ans,11/05/1988,185,90,NONJIFF,PRO,Racing 92
Marc ANDREU,Ailier,29 ans,27/12/1985,170,75,JIFF,PRO,Racing 92
Teddy THOMAS,Ailier,22 ans,18/09/1993,185,90,ESPOIR,ESPOIR,Racing 92
Brice DULIN,Arrière,25 ans,13/04/1990,176,82,JIFF,PRO,Racing 92
Johan GOOSEN,Arrière,23 ans,27/07/1992,184,89,NONJIFF,PRO,Racing 92
Louis DUPICHOT,Arrière,20 ans,23/09/1995,183,86,ESPOIR,ESPOIR,Racing 92
Sean ROBINSON,Arrière,22 ans,02/11/1993,181,88,ESPOIR,ESPOIR,Racing 92
Alexandre MENINI,Pilier,32 ans,05/08/1983,182,109,JIFF,PRO,Toulon
Andrea CINCOTTO,Pilier,19 ans,27/11/1995,185,115,ESPOIR,ESPOIR,Toulon
Florian FRESIA,Pilier,23 ans,17/01/1992,185,116,JIFF,PRO,Toulon
Joel RINGER,Pilier,18 ans,02/11/1997,190,117,ESPOIR,ESPOIR,Toulon
Levan CHILACHAVA,Pilier,24 ans,17/08/1991,188,120,JIFF,PRO,Toulon
Matt STEVENS,Pilier,33 ans,01/10/1982,183,115,NONJIFF,PRO,Toulon
Mohamed BOUGHANMI,Pilier,24 ans,27/10/1991,193,127,JIFF,PRO,Toulon
Salesi MA'AFU,Pilier,32 ans,26/03/1983,185,124,NONJIFF,PRO,Toulon
Thomas VERNET,Pilier,21 ans,14/07/1994,185,110,ESPOIR,ESPOIR,Toulon
Xavier CHIOCCI,Pilier,25 ans,13/02/1990,180,110,JIFF,PRO,Toulon
Anthony ÉTRILLARD,Talonneur,22 ans,21/03/1993,183,110,ESPOIR,ESPOIR,Toulon
Bastien SOURY,Talonneur,20 ans,18/03/1995,180,100,ESPOIR,ESPOIR,Toulon
Guilhem GUIRADO,Talonneur,29 ans,17/06/1986,183,105,JIFF,PRO,Toulon
Iuri NATRIASHVILI,Talonneur,31 ans,25/01/1984,178,105,JOKER,PRO,Toulon
Jean-Charles ORIOLI,Talonneur,26 ans,09/08/1989,179,104,JIFF,PRO,Toulon
Andy CRAMOND,2ème ligne,21 ans,15/04/1994,196,115,ESPOIR,ESPOIR,Toulon
Jocelino SUTA,2ème ligne,33 ans,18/11/1982,195,112,JIFF,PRO,Toulon
Konstantine MIKAUTADZE,2ème ligne,24 ans,01/07/1991,200,115,JIFF,PRO,Toulon
Paul O'CONNELL,2ème ligne,36 ans,20/10/1979,198,111,NONJIFF,PRO,Toulon
Romain TAOFIFENUA,2ème ligne,25 ans,14/09/1990,200,120,JIFF,PRO,Toulon
Thibault LASSALLE,2ème ligne,28 ans,22/08/1987,202,115,JIFF,PRO,Toulon
Charles OLLIVON,3ème ligne,22 ans,11/05/1993,199,108,ESPOIR,ESPOIR,Toulon
Duane VERMEULEN,3ème ligne,29 ans,03/07/1986,193,116,NONJIFF,PRO,Toulon
Grégory ANNETTA,3ème ligne,20 ans,30/12/1994,189,105,ESPOIR,ESPOIR,Toulon
Juan Martin FERNANDEZ LOBBE,3ème ligne,34 ans,19/11/1981,193,102,NONJIFF,PRO,Toulon
Juan SMITH,3ème ligne,34 ans,30/07/1981,196,112,NONJIFF,PRO,Toulon
Mamuka GORGODZE,3ème ligne,31 ans,14/07/1984,196,120,NONJIFF,PRO,Toulon
Samu MANOA,3ème ligne,30 ans,05/03/1985,194,121,NONJIFF,PRO,Toulon
Steffon ARMITAGE,3ème ligne,30 ans,20/09/1985,175,96,JIFF,PRO,Toulon
Virgile BRUNI,3ème ligne,26 ans,06/02/1989,197,108,JIFF,PRO,Toulon
Anthony MÉRIC,Mêlée,20 ans,15/02/1995,177,75,ESPOIR,ESPOIR,Toulon
Eric ESCANDE,Mêlée,23 ans,18/11/1992,172,78,JIFF,PRO,Toulon
Jonathan PÉLISSIÉ,Mêlée,27 ans,06/06/1988,179,83,JIFF,PRO,Toulon
Sebastien TILLOUS-BORDE,Mêlée,30 ans,29/04/1985,176,93,JIFF,PRO,Toulon
Anthony BELLEAU,Ouverture,19 ans,08/04/1996,175,80,ESPOIR,ESPOIR,Toulon
Frédéric MICHALAK,Ouverture,33 ans,16/10/1982,180,80,JIFF,PRO,Toulon
Quade COOPER,Ouverture,27 ans,05/04/1988,186,93,NONJIFF,PRO,Toulon
Tom TAYLOR,Ouverture,26 ans,11/03/1989,183,90,NONJIFF,PRO,Toulon
James O'CONNOR,Centre,25 ans,05/07/1990,180,85,NONJIFF,PRO,Toulon
Jimmy YOBO,Centre,23 ans,20/02/1992,180,80,JIFF,PRO,Toulon
Ma'a NONU,Centre,33 ans,21/05/1982,182,106,NONJIFF,PRO,Toulon
Mathieu BASTAREAUD,Centre,27 ans,17/09/1988,183,120,JIFF,PRO,Toulon
Matt GITEAU,Centre,33 ans,29/09/1982,178,84,NONJIFF,PRO,Toulon
Maxime MERMOZ,Centre,29 ans,28/07/1986,181,93,JIFF,PRO,Toulon
Théo BELAN,Centre,23 ans,15/11/1992,187,94,JIFF,PRO,Toulon
Bryan HABANA,Ailier,32 ans,12/06/1983,180,94,NONJIFF,PRO,Toulon
Drew MITCHELL,Ailier,31 ans,26/03/1984,182,92,NONJIFF,PRO,Toulon
Josua TUISOVA,Ailier,21 ans,04/02/1994,180,91,ESPOIR,ESPOIR,Toulon
Delon ARMITAGE,Arrière,31 ans,15/12/1983,192,92,JIFF,PRO,Toulon
Leigh HALFPENNY,Arrière,26 ans,22/12/1988,178,85,NONJIFF,PRO,Toulon
Ulupano SEUTENI,Arrière,21 ans,09/12/1993,185,92,ESPOIR,ESPOIR,Toulon
Census JOHNSTON,Pilier,34 ans,06/05/1981,189,130,NONJIFF,PRO,Toulouse
Cyril BAILLE,Pilier,22 ans,15/09/1993,182,113,ESPOIR,ESPOIR,Toulouse
Dorian ALDEGHERI,Pilier,22 ans,04/08/1993,180,110,ESPOIR,ESPOIR,Toulouse
Gert MULLER,Pilier,29 ans,05/02/1986,186,110,NONJIFF,PRO,Toulouse
Gurthrö STEENKAMP,Pilier,34 ans,12/06/1981,189,120,NONJIFF,PRO,Toulouse
Neemia TIALATA,Pilier,33 ans,15/07/1982,187,129,NONJIFF,PRO,Toulouse
Rodrigue NETI,Pilier,20 ans,26/04/1995,185,108,ESPOIR,ESPOIR,Toulouse
Vasil KAKOVIN,Pilier,25 ans,01/12/1989,183,110,JIFF,PRO,Toulouse
Christopher TOLOFUA,Talonneur,21 ans,31/12/1993,182,117,JIFF,PRO,Toulouse
Corey FLYNN,Talonneur,34 ans,05/01/1981,184,108,NONJIFF,PRO,Toulouse
Julien MARCHAND,Talonneur,20 ans,10/05/1995,181,95,ESPOIR,ESPOIR,Toulouse
Grégory LAMBOLEY,2ème ligne,33 ans,12/01/1982,195,104,JIFF,PRO,Toulouse
Iosefa TEKORI,2ème ligne,31 ans,17/12/1983,198,127,NONJIFF,PRO,Toulouse
Patricio ALBACETE,2ème ligne,34 ans,09/02/1981,200,117,NONJIFF,PRO,Toulouse
Romain MILLO-CHLUSKI,2ème ligne,32 ans,20/04/1983,196,119,JIFF,PRO,Toulouse
Yoann MAESTRI,2ème ligne,27 ans,14/01/1988,201,119,JIFF,PRO,Toulouse
Edgar TUINUKUAFE,3ème ligne,22 ans,07/10/1993,188,114,ESPOIR,ESPOIR,Toulouse
Edwin MAKA,3ème ligne,22 ans,25/01/1993,202,142,ESPOIR,ESPOIR,Toulouse
François CROS,3ème ligne,21 ans,25/03/1994,190,95,ESPOIR,ESPOIR,Toulouse
Gillian GALAN,3ème ligne,24 ans,07/08/1991,193,120,JIFF,PRO,Toulouse
Imanol HARINORDOQUY,3ème ligne,35 ans,20/02/1980,192,108,JIFF,PRO,Toulouse
Louis PICAMOLES,3ème ligne,29 ans,05/02/1986,192,118,JIFF,PRO,Toulouse
Talalelei GRAY,3ème ligne,25 ans,28/02/1990,194,110,NONJIFF,PRO,Toulouse
Thierry DUSAUTOIR,3ème ligne,34 ans,18/11/1981,188,95,JIFF,PRO,Toulouse
Yacouba CAMARA,3ème ligne,21 ans,02/06/1994,195,100,ESPOIR,ESPOIR,Toulouse
David MÉLÉ,Mêlée,30 ans,22/10/1985,171,78,JIFF,PRO,Toulouse
Jean-Marc DOUSSAIN,Mêlée,24 ans,12/02/1991,174,90,JIFF,PRO,Toulouse
Sébastien BEZY,Mêlée,24 ans,22/11/1991,174,74,JIFF,PRO,Toulouse
Toby FLOOD,Ouverture,30 ans,08/08/1985,188,95,NONJIFF,PRO,Toulouse
Florian FRITZ,Centre,31 ans,17/01/1984,184,94,JIFF,PRO,Toulouse
Gaël FICKOU,Centre,21 ans,26/03/1994,189,90,JIFF,PRO,Toulouse
Joseva RAUGA,Centre,19 ans,09/04/1996,188,89,ESPOIR,ESPOIR,Toulouse
Luke MCALISTER,Centre,32 ans,28/08/1983,178,94,NONJIFF,PRO,Toulouse
Paul PEREZ,Centre,29 ans,26/07/1986,189,104,JOKER,PRO,Toulouse
Semi KUNATANI,Centre,25 ans,27/10/1990,192,98,NONJIFF,PRO,Toulouse
Yann DAVID,Centre,27 ans,15/04/1988,185,102,JIFF,PRO,Toulouse
Arthur BONNEVAL,Ailier,20 ans,31/05/1995,181,82,ESPOIR,ESPOIR,Toulouse
Timoci MATANAVOU,Ailier,31 ans,08/07/1984,185,86,NONJIFF,PRO,Toulouse
Vincent CLERC,Ailier,34 ans,07/05/1981,178,85,JIFF,PRO,Toulouse
Yoann HUGET,Ailier,28 ans,02/06/1987,190,97,JIFF,PRO,Toulouse
Alexis PALISSON,Arrière,28 ans,09/09/1987,177,85,JIFF,PRO,Toulouse
Clément POITRENAUD,Arrière,33 ans,20/05/1982,188,90,JIFF,PRO,Toulouse
Maxime MEDARD,Arrière,29 ans,16/11/1986,180,85,JIFF,PRO,Toulouse
Thomas RAMOS,Arrière,20 ans,23/07/1995,178,78,ESPOIR,ESPOIR,Toulouse